"country","unemploymentRate","pop2020"
"Saint Vincent and the Grenadines","18.8000","110.9400"
"Armenia","18.9000","2963.2430"
"Sudan","19.6000","43849.2600"
"Botswana","20","2351.6270"
"Saint Lucia","20","183.6270"
"Malawi","20.4000","19129.9520"
"Bosnia and Herzegovina","20.5000","3280.8190"
"French Polynesia","21.8000","280.9080"
"Greece","22.3000","10423.0540"
"Dominica","23","71.9860"
"Nauru","23","10.8240"
"Macedonia","23.4000","2083.3740"
"Afghanistan","23.9000","38928.3460"
"Grenada","24","112.5230"
"Mozambique","24.5000","31255.4350"
"North Korea","25.6000","25778.8160"
"Venezuela","26.4000","28435.9400"
"Yemen","27","29825.9640"
"South Africa","27.6000","59308.6900"
"Gabon","28","2225.7340"
"Swaziland","28","1160.1640"
"Lesotho","28.1000","2142.2490"
"American Samoa","29.8000","55.1910"
"Libya","30","6871.2920"
"Kiribati","30.6000","119.4490"
"Namibia","34","2540.9050"
"Republic of the Congo","36","5518.0870"
"Marshall Islands","36","59.1900"
"Kenya","40","53771.2960"
"Djibouti","40","988"
"Haiti","40.6000","11402.5280"
"Senegal","48","16743.9270"
"Syria","50","17500.6580"
"Burkina Faso","77","20903.2730"
