Country name,Regional indicator,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,population,Employment rate
Maldives,South Asia,5.197599888,9.518632889,0.91316092,70.59999847,0.853962779,0.10890172440380985,0.824211061,540.544,97.1
Congo (Brazzaville),Sub-Saharan Africa,5.194399834,8.536987305,0.640228093,57.92448044,0.719058514,0.050471112852263376,0.751779079,0,0
Azerbaijan,Commonwealth of Independent States,5.164800167,9.687726974,0.819308281,65.50839996,0.786824107,0.0028806847623385375,0.55253756,10139.177,94
Macedonia,Central and Eastern Europe,5.159800053,9.5105915070000009,0.820392311,67.50442505,0.738840938,0.08885620711381484,0.897490501,2083.374,76.6
Ghana,Sub-Saharan Africa,5.147999763,8.350645065,0.728601098,57.20398712,0.794796526,0.12745507535130576,0.847964764,31072.94,88.1
Nepal,South Asia,5.137199879,7.925357342,0.785512447,63.77917862,0.797565043,0.14646267920519668,0.738099158,29136.808,97
Turkey,Middle East and North Africa,5.131800175,10.12941933,0.826313555,66.90281677,0.608830452,0.031757340906045116,0.748197377,84339.067,88.8
China,East Asia,5.123899937,9.688568115,0.798760593,69.2891922,0.898517907,0.027547177012816167,0.7539711,1439323.776,96.1
Turkmenistan,Commonwealth of Independent States,5.119100094,9.74803257,0.958966196,62.21170807,0.826457024,0.15672534465492446,0.883691847,6031.2,89
Bulgaria,Central and Eastern Europe,5.101500034,9.869318962,0.937840343,66.80397797,0.745178163,0.04257626408792272,0.935585141,6948.445,93.8
Morocco,Middle East and North Africa,5.094799995,8.940313339,0.592628479,65.89624023,0.772072434,0.0028280625965804228,0.815724611,36910.56,90
Cameroon,Sub-Saharan Africa,5.084899902,8.118647575,0.700386405,52.7049408,0.763051808,0.0953137085506379,0.85133659800000006,26545.863,95.7
Venezuela,Latin America and Caribbean,5.053199768,8.977793694,0.890408158,66.50534058,0.62327832,0.03254617402480862,0.837038398,28435.94,73.6
Algeria,Middle East and North Africa,5.005099773,9.537964821,0.803385139,65.90517426,0.466610909,0.05146324489799374,0.735485137,43851.044,88.3
Senegal,Sub-Saharan Africa,4.980800152,8.118982315,0.723616004,59.59915161,0.690596163,0.07721349287198985,0.808785141,16743.927,52
Guinea,Sub-Saharan Africa,4.949299812,7.750990391,0.637573481,54.46780014,0.706846774,0.12163823366763495,0.761794448,13132.795,97.2
Niger,Sub-Saharan Africa,4.909599781,6.842166901,0.617435038,53.50009537,0.759772122,0.1006362682324244,0.722530186,24206.644,97.4
Laos,Southeast Asia,4.888599873,8.79858017,0.737502217,58.70992279,0.907213569,0.13298989108944084,0.634679317,7275.56,98.5
Albania,Central and Eastern Europe,4.882699966,9.417930603,0.671070457,68.70813751,0.781994224,0.08084316925081213,0.896303713,2877.797,86
Cambodia,Southeast Asia,4.848400116,8.249890327,0.773080647,61.52996826,0.959704638,0.11354947879012743,0.822769046,16718.965,99.7
Bangladesh,South Asia,4.832799911,8.287063599,0.687292993,64.50306702,0.90062499,0.08394873355329871,0.661843538,164689.383,96
Gabon,Sub-Saharan Africa,4.829299927,9.680537224,0.787886858,59.71533966,0.704829216,0.010575004833350965,0.849150956,2225.734,72
South Africa,Sub-Saharan Africa,4.814099789,9.403370857,0.852532268,56.50601196,0.759330094,0.055811273024059076,0.843423843,59308.69,72.4
Iraq,Middle East and North Africa,4.784800053,9.661095619,0.747694969,59.90354919,0.633182645,0.07090396139905576,0.82226181,40222.493,84
Lebanon,Middle East and North Africa,4.771500111,9.3617239,0.824338138,67.10658264,0.551357508,0.07397301778073115,0.90225625,0,0
Burkina Faso,Sub-Saharan Africa,4.768700123,7.46854496,0.712943614,53.88945389,0.665563583,0.08913818172725571,0.739795029,20903.273,23
Gambia,Sub-Saharan Africa,4.750599861,7.321814537,0.6931687,55.0120163,0.733163178,0.2014269139882134,0.690717816,0,0
Mali,Sub-Saharan Africa,4.729300022,7.629852295,0.731468976,51.72698212,0.71156615,0.08010076775945034,0.839328408,20250.833,91.9
Nigeria,Sub-Saharan Africa,4.724100113,8.57662487,0.73721689,49.86190796,0.759578407,0.10743254179588625,0.861874342,206139.589,86.6
Armenia,Commonwealth of Independent States,4.676799774,9.100476265,0.757479429,66.75065613,0.712017834,0.04459100255029005,0.773544788,2963.243,81.1
Georgia,Commonwealth of Independent States,4.672599792,9.226100922,0.629033029,64.49520874,0.801641524,0.007743503293348037,0.665944695,3989.167,88.5
Iran,Middle East and North Africa,4.672399998,9.813719749,0.694689691,66.00614929,0.647873282,0.1350694761839009,0.714635968,83992.949,87.6
Jordan,Middle East and North Africa,4.633399963,9.025999069,0.80216372,66.79975128,0.75104779,0.03516754051723477,0.700344324,10203.134,81.5
Mozambique,Sub-Saharan Africa,4.623600006,7.069345951,0.723874032,54.20582199,0.864451885,0.10696772117269653,0.683019102,31255.435,75.5
Kenya,Sub-Saharan Africa,4.583000183,8.02977562,0.702652037,60.09693146,0.829747558,0.18796941100277736,0.831499159,53771.296,60
Namibia,Sub-Saharan Africa,4.571100235,9.203141212,0.846880972,56.50148773,0.767520964,0.025962501230191625,0.851449788,2540.905,66
Ukraine,Commonwealth of Independent States,4.56069994,9.010690689,0.878879368,64.60678101,0.663081884,0.08492523325963243,0.920636714,43733.762,90.5
Liberia,Sub-Saharan Africa,4.557899952,7.054380417,0.70928055,56.09631348,0.735268712,0.1103147620095442,0.856375933,5057.681,97.2
Palestinian Territories,Middle East and North Africa,4.552800179,8.389223099,0.825295925,62.25,0.645791829,0.03536218873188385,0.824199975,0,0
Uganda,Sub-Saharan Africa,4.43200016,7.500389576,0.764994621,55.70820236,0.731713951,0.12917338720703553,0.836737812,45741.007,90.6
Chad,Sub-Saharan Africa,4.422699928,7.467963696,0.632388055,48.22053909,0.587305248,0.10200299485248492,0.802760839,0,0
Tunisia,Middle East and North Africa,4.392199993,9.314972878,0.688718557,66.89785767,0.593361557,0.01304653750705509,0.867590249,11818.619,84.1
Mauritania,Sub-Saharan Africa,4.374599934,8.233919144,0.790819228,57.01017761,0.551522553,0.05724842062672051,0.746223509,4649.658,88.3
Sri Lanka,South Asia,4.327000141,9.389969826,0.825374067,67.20006561,0.837633669,0.12321114552947854,0.859001756,21413.249,95.5
Congo (Kinshasa),Sub-Saharan Africa,4.31099987,6.694256306,0.672159016,52.90000153,0.700793564,0.12403054813243206,0.809403598,0,0
Swaziland,Sub-Saharan Africa,4.308100224,9.16267395,0.770290196,51.18823624,0.646822274,0.02024064557463835,0.708263338,1160.164,72
Myanmar,Southeast Asia,4.308000088,8.680481911,0.78440702,58.96171188,0.895075202,0.2570961694587331,0.645124316,54409.8,96
Comoros,Sub-Saharan Africa,4.288599968,7.833630085,0.625662446,57.34901047,0.547612607,0.1261050168174699,0.780622602,869.601,93.5
Togo,Sub-Saharan Africa,4.187200069,7.357711315,0.551312625,54.71989822,0.649828613,0.09676344863570659,0.757733464,8278.724,93.1
Ethiopia,Sub-Saharan Africa,4.186200142,7.509385586,0.743307352,58.63959122,0.740795195,0.11068655121085129,0.753690004,114963.588,82.5
Madagascar,Sub-Saharan Africa,4.165599823,7.281685829,0.668195903,59.10542679,0.557574093,0.0916974489210846,0.817485631,27691.018,97.9
Egypt,Middle East and North Africa,4.151400089,9.316541672,0.735447824,61.78015137,0.708354175,0.021202549399251914,0.787726879,102334.404,88.1
Sierra Leone,Sub-Saharan Africa,3.926399946,7.26880312,0.636142015,50.86514282,0.715315044,0.12566701194774765,0.861330688,7976.983,90.9
Burundi,Sub-Saharan Africa,3.775300026,6.492642403,0.490325719,53.40000153,0.626350224,0.08967863773798432,0.606934547,0,0
Zambia,Sub-Saharan Africa,3.759399891,8.224720001,0.698824465,55.29937744,0.806500256,0.12219866282612755,0.801289678,18383.955,85
Haiti,Latin America and Caribbean,3.720799923,7.411329269,0.593247831,55.59862518,0.537825167,0.21681090348459667,0.684767246,11402.528,59.4
Lesotho,Sub-Saharan Africa,3.652800083,7.960488319,0.780495703,48.00362396,0.738125861,0.04185764649935399,0.857392073,2142.249,71.9
India,South Asia,3.573299885,8.849823952,0.592200935,60.21518707,0.881444871,0.11543141796602688,0.772042692,1380004.385,91.2
Malawi,Sub-Saharan Africa,3.538000107,7.062226295,0.544007301,57.59288788,0.803223193,0.10323693174809051,0.731700778,19129.952,79.6
Yemen,Middle East and North Africa,3.527400017,7.759682655,0.817980587,56.72728348,0.599920273,0.037097629664676224,0.800287724,29825.964,73
Botswana,Sub-Saharan Africa,3.478899956,9.711203575,0.779121757,58.92445374,0.821328104,-0.0015157862230942636,0.777930915,2351.627,80
Tanzania,Sub-Saharan Africa,3.476200104,7.967665195,0.688933194,57.49607468,0.82153976,0.1324451016973316,0.619799435,59734.218,89.7
Central African Republic,Sub-Saharan Africa,3.475899935,6.625160217,0.319459856,45.20000076,0.640880644,0.1236297701917935,0.891806662,4829.767,93.1
Rwanda,Sub-Saharan Africa,3.312299967,7.600104332,0.54083544,61.09884644,0.900589406,0.11474248750261132,0.183541179,12952.218,97.3
Zimbabwe,Sub-Saharan Africa,3.299200058,7.865711689,0.763092756,55.61725998,0.711457908,0.06998108933458186,0.81023699,14862.924,88.7
South Sudan,Sub-Saharan Africa,2.816600084,7.425359726,0.553707123,51,0.451313615,0.10155080614898412,0.763417304,0,0
Afghanistan,South Asia,2.566900015,7.462860584,0.470366955,52.59000015,0.396573007,0.0608794318891682,0.933686554,38928.346,76.1
